id,Age
15000,6.3
15001,9.0
15002,5.5
15003,8.2
15004,6.4
15005,10.4
15006,11.9
15007,9.2
15008,6.0
15009,6.1
15010,7.8
15011,17.3
15012,10.0
15013,9.8
15014,12.1
15015,6.4
15016,7.8
15017,11.2
15018,8.5
15019,10.0
15020,10.1
15021,10.9
15022,9.6
15023,6.4
15024,11.9
15025,10.8
15026,12.7
15027,9.4
15028,8.3
15029,9.9
15030,8.5
15031,4.6
15032,7.3
15033,10.5
15034,11.9
15035,10.5
15036,9.9
15037,15.6
15038,10.5
15039,11.7
15040,8.3
15041,10.7
15042,11.0
15043,6.8
15044,7.0
15045,9.3
15046,8.4
15047,18.4
15048,8.8
15049,8.9
15050,9.5
15051,8.2
15052,8.9
15053,13.4
15054,10.5
15055,8.5
15056,9.5
15057,10.4
15058,9.9
15059,9.4
15060,10.5
15061,15.8
15062,7.0
15063,7.6
15064,12.9
15065,8.4
15066,6.1
15067,8.6
15068,8.9
15069,10.8
15070,10.6
15071,10.5
15072,8.3
15073,9.6
15074,9.6
15075,9.0
15076,9.6
15077,10.5
15078,10.3
15079,11.4
15080,7.9
15081,8.6
15082,9.8
15083,9.7
15084,9.6
15085,7.6
15086,10.7
15087,10.9
15088,11.1
15089,7.6
15090,9.6
15091,9.9
15092,9.2
15093,13.9
15094,11.1
15095,9.0
15096,10.0
15097,7.8
15098,11.7
15099,8.3
15100,9.4
15101,10.9
15102,7.1
15103,10.2
15104,7.7
15105,10.5
15106,11.5
15107,8.5
15108,7.4
15109,6.9
15110,9.3
15111,9.2
15112,10.8
15113,7.6
15114,11.3
15115,11.0
15116,9.7
15117,9.7
15118,8.8
15119,8.6
15120,9.8
15121,4.5
15122,10.5
15123,14.4
15124,10.0
15125,6.3
15126,6.5
15127,10.2
15128,4.6
15129,11.6
15130,12.1
15131,13.6
15132,16.3
15133,11.8
15134,13.6
15135,7.6
15136,10.8
15137,16.3
15138,10.1
15139,11.5
15140,9.2
15141,8.7
15142,8.0
15143,8.4
15144,8.2
15145,11.8
15146,10.5
15147,10.6
15148,6.0
15149,6.6
15150,11.4
15151,13.0
15152,11.4
15153,7.3
15154,9.3
15155,9.2
15156,9.1
15157,11.9
15158,10.4
15159,11.7
15160,7.1
15161,12.2
15162,6.6
15163,10.6
15164,6.6
15165,8.4
15166,9.0
15167,8.2
15168,11.6
15169,7.6
15170,8.9
15171,10.9
15172,6.8
15173,13.1
15174,10.1
15175,13.6
15176,10.8
15177,7.8
15178,8.5
15179,10.3
15180,9.3
15181,5.9
15182,7.2
15183,8.2
15184,9.3
15185,10.0
15186,9.6
15187,10.4
15188,7.8
15189,14.7
15190,11.0
15191,10.0
15192,9.1
15193,11.0
15194,9.4
15195,11.2
15196,9.7
15197,12.9
15198,8.9
15199,9.6
15200,7.7
15201,11.7
15202,6.8
15203,9.8
15204,14.3
15205,9.7
15206,10.7
15207,4.2
15208,6.7
15209,7.9
15210,9.5
15211,12.0
15212,8.9
15213,12.4
15214,9.6
15215,10.7
15216,9.8
15217,10.9
15218,6.4
15219,11.3
15220,9.4
15221,6.0
15222,8.1
15223,8.8
15224,6.2
15225,10.3
15226,12.8
15227,13.4
15228,7.4
15229,7.7
15230,9.2
15231,9.9
15232,6.2
15233,5.9
15234,10.7
15235,11.2
15236,22.0
15237,10.9
15238,10.5
15239,6.7
15240,7.9
15241,8.9
15242,8.9
15243,10.6
15244,11.4
15245,9.4
15246,6.5
15247,9.5
15248,7.1
15249,7.3
15250,10.4
15251,11.8
15252,9.9
15253,9.9
15254,9.7
15255,7.6
15256,6.5
15257,8.6
15258,7.6
15259,10.9
15260,15.9
15261,14.1
15262,10.7
15263,10.9
15264,6.8
15265,10.4
15266,8.8
15267,8.5
15268,9.1
15269,7.4
15270,11.4
15271,11.6
15272,9.2
15273,9.9
15274,10.5
15275,13.4
15276,6.8
15277,10.9
15278,8.4
15279,11.9
15280,9.9
15281,15.2
15282,7.7
15283,11.9
15284,8.5
15285,5.8
15286,10.0
15287,10.8
15288,15.0
15289,4.2
15290,10.0
15291,8.5
15292,9.5
15293,10.1
15294,6.7
15295,6.2
15296,11.7
15297,7.2
15298,6.4
15299,9.2
15300,10.7
15301,11.9
15302,7.1
15303,9.1
15304,12.3
15305,6.4
15306,9.3
15307,11.8
15308,10.6
15309,4.3
15310,9.6
15311,10.0
15312,16.4
15313,13.9
15314,10.0
15315,11.8
15316,6.9
15317,9.2
15318,8.4
15319,11.8
15320,9.0
15321,7.3
15322,11.0
15323,7.1
15324,13.6
15325,10.4
15326,11.4
15327,6.6
15328,12.0
15329,14.3
15330,9.5
15331,6.7
15332,9.3
15333,10.9
15334,11.0
15335,6.4
15336,10.0
15337,9.1
15338,8.9
15339,13.6
15340,18.8
15341,12.1
15342,9.1
15343,6.7
15344,11.6
15345,7.6
15346,18.4
15347,8.2
15348,10.8
15349,6.1
15350,10.2
15351,14.5
15352,9.4
15353,11.1
15354,7.9
15355,6.9
15356,8.2
15357,11.1
15358,9.2
15359,6.7
15360,9.3
15361,9.8
15362,10.5
15363,10.3
15364,5.9
15365,3.8
15366,6.8
15367,9.7
15368,10.9
15369,11.7
15370,10.5
15371,9.8
15372,7.2
15373,6.9
15374,8.6
15375,8.0
15376,8.0
15377,11.4
15378,10.3
15379,9.8
15380,10.9
15381,8.4
15382,6.2
15383,5.2
15384,8.1
15385,10.7
15386,12.1
15387,10.0
15388,9.5
15389,9.2
15390,12.9
15391,11.4
15392,11.7
15393,10.1
15394,11.3
15395,12.2
15396,10.8
15397,9.3
15398,10.7
15399,11.8
15400,10.2
15401,8.3
15402,6.5
15403,7.1
15404,10.2
15405,14.4
15406,7.9
15407,10.0
15408,13.0
15409,8.5
15410,6.2
15411,8.0
15412,11.7
15413,6.0
15414,9.5
15415,10.3
15416,8.5
15417,9.5
15418,7.9
15419,13.2
15420,14.8
15421,10.8
15422,9.7
15423,6.8
15424,7.2
15425,10.3
15426,6.7
15427,9.2
15428,8.6
15429,9.3
15430,12.0
15431,11.1
15432,7.1
15433,9.3
15434,10.1
15435,11.1
15436,10.9
15437,4.9
15438,8.9
15439,12.8
15440,10.1
15441,9.2
15442,10.5
15443,5.7
15444,10.3
15445,13.8
15446,9.3
15447,10.9
15448,12.3
15449,6.2
15450,4.1
15451,9.4
15452,6.9
15453,7.9
15454,11.7
15455,10.1
15456,10.8
15457,9.6
15458,11.5
15459,14.8
15460,10.4
15461,10.3
15462,11.3
15463,10.5
15464,8.8
15465,10.5
15466,11.1
15467,10.5
15468,11.8
15469,8.6
15470,10.6
15471,10.5
15472,10.8
15473,8.6
15474,8.6
15475,10.6
15476,8.1
15477,10.3
15478,10.3
15479,10.7
15480,6.8
15481,8.3
15482,9.3
15483,8.4
15484,8.1
15485,13.3
15486,9.9
15487,7.7
15488,10.9
15489,9.1
15490,9.4
15491,10.1
15492,9.0
15493,10.0
15494,8.2
15495,8.5
15496,7.1
15497,6.9
15498,11.3
15499,7.7
15500,11.4
15501,7.3
15502,8.4
15503,17.1
15504,11.7
15505,14.4
15506,12.0
15507,9.5
15508,9.4
15509,8.6
15510,6.2
15511,9.0
15512,13.1
15513,13.3
15514,8.8
15515,11.3
15516,11.7
15517,6.8
15518,9.9
15519,15.9
15520,6.3
15521,14.3
15522,7.9
15523,10.7
15524,5.7
15525,7.3
15526,9.7
15527,10.4
15528,10.0
15529,12.3
15530,7.2
15531,10.7
15532,10.5
15533,11.1
15534,9.3
15535,9.5
15536,11.2
15537,11.9
15538,8.8
15539,8.6
15540,10.4
15541,12.1
15542,8.3
15543,10.7
15544,4.3
15545,9.2
15546,8.7
15547,9.9
15548,9.6
15549,12.7
15550,10.0
15551,11.8
15552,10.8
15553,10.2
15554,11.3
15555,6.7
15556,4.6
15557,9.5
15558,12.1
15559,8.3
15560,9.4
15561,9.7
15562,10.7
15563,11.0
15564,10.7
15565,10.5
15566,8.2
15567,5.9
15568,11.4
15569,8.9
15570,10.0
15571,8.5
15572,4.6
15573,9.8
15574,7.7
15575,13.8
15576,6.5
15577,11.8
15578,9.7
15579,9.9
15580,9.6
15581,11.8
15582,8.8
15583,6.4
15584,5.2
15585,11.1
15586,11.9
15587,9.5
15588,5.8
15589,9.9
15590,9.4
15591,8.8
15592,13.5
15593,10.5
15594,10.0
15595,12.7
15596,9.1
15597,9.7
15598,10.3
15599,7.7
15600,6.5
15601,9.4
15602,7.2
15603,8.9
15604,6.7
15605,13.9
15606,8.9
15607,11.8
15608,13.7
15609,8.6
15610,11.7
15611,9.6
15612,8.4
15613,7.6
